x11,x12,x21,x22,x31,x32,x41,x42,x51,x52,x61,x62,x71,x72,x81,x82,x91,x92,x101,x102,x111,x112,x121,x122,x131,x132,x141,x142,x151,x152,x161,x162,x171,x172,x181,x182,target
-0.288147605,-0.00955046,-0.256483575,0.012423308,-0.242491535,0.011321945,-0.195684384,0.010561332,-0.150642357,0.060745653,0.060938048,0.079160237,0.133467902,0.06810256,0.359351593,0.037225777,0.397998455,0.009397925,0.364250052,-0.02972054,0.267562231,-0.03175107,0.229070108,-0.044781545,0.071700974,-0.050525936,-0.092471845,-0.048728614,-0.101980701,-0.028324993,-0.134867912,0.041167082,-0.169368763,-0.061868859,-0.252200687,-0.024853803,S_macrop
-0.286230636,-0.012331288,-0.258212099,0.021424519,-0.242192675,0.018584039,-0.193496706,0.017806359,-0.142600164,0.056921354,0.065904352,0.06551055,0.141920143,0.052334945,0.358382327,0.039465852,0.389511707,0.008374286,0.367817884,-0.017729452,0.263595348,-0.021226771,0.23183184,-0.02850257,0.093664711,-0.076437274,-0.111671446,-0.05344858,-0.114906582,-0.028010279,-0.135182554,0.033985504,-0.176048439,-0.058653575,-0.252087012,-0.018067621,S_macrop
-0.282771223,-0.010308801,-0.255334221,0.011605661,-0.24129884,0.011133288,-0.198492981,0.009691529,-0.15589467,0.064453478,0.054032169,0.091788088,0.135597453,0.072871801,0.366613765,0.038377657,0.402015533,0.004865015,0.366413588,-0.030113165,0.258070195,-0.034883868,0.212757023,-0.045299083,0.083449626,-0.056381221,-0.092639141,-0.049028101,-0.096447625,-0.02642013,-0.137827955,0.037848941,-0.169344064,-0.063300432,-0.248898632,-0.026900656,S_macrop
-0.286848589,-0.013814067,-0.256009569,0.009010655,-0.240831179,0.011568796,-0.193445835,0.015488038,-0.156359452,0.060355136,0.057288196,0.08164899,0.132103252,0.062846455,0.364542648,0.037909326,0.395690825,0.006982706,0.367244448,-0.025819125,0.26730642,-0.03485793,0.230883639,-0.045716121,0.065555234,-0.048492086,-0.091281137,-0.046142332,-0.102664668,-0.026039531,-0.132465469,0.039256058,-0.170959758,-0.059749834,-0.249749007,-0.024435135,S_macrop
-0.281068583,-0.025603667,-0.254128567,0.001497678,-0.242381999,0.003449564,-0.192089415,0.009817799,-0.15735982,0.068229524,0.054095344,0.096749616,0.122283681,0.079761871,0.370533596,0.027053686,0.40285473,-0.007553466,0.365633038,-0.035122966,0.261248417,-0.035772188,0.226369309,-0.040896449,0.073770635,-0.036134437,-0.0979051,-0.035589911,-0.102845611,-0.019460369,-0.136881704,0.040859076,-0.170126229,-0.055771512,-0.242001724,-0.035513849,S_macrop
-0.276632545,-0.015807976,-0.255057966,0.005371032,-0.242816547,0.00679864,-0.196480915,0.011212682,-0.159400349,0.059010508,0.050440551,0.086451408,0.124742946,0.071964169,0.35972227,0.032630914,0.403109239,-0.001219446,0.368839852,-0.029622035,0.272265949,-0.037503877,0.228677238,-0.042928222,0.077574034,-0.046042354,-0.096594018,-0.035385575,-0.105904559,-0.019717838,-0.141133152,0.034202229,-0.170391703,-0.051668105,-0.240960324,-0.027746154,S_macrop
-0.283925993,-0.019012901,-0.253801746,0.006029455,-0.240734574,0.008116753,-0.19861463,0.010904481,-0.151612936,0.063669941,0.052403933,0.093689753,0.139611101,0.073482944,0.364293051,0.030992259,0.391707477,0.00135432,0.364757238,-0.03392257,0.273115541,-0.03340485,0.225240603,-0.041988245,0.071621631,-0.045803422,-0.096665772,-0.041010549,-0.106537045,-0.022262454,-0.135595618,0.04037339,-0.164851959,-0.06031839,-0.250410303,-0.030889914,S_macrop
-0.280621759,-0.025354443,-0.254692851,0.0028623,-0.24047062,0.00644532,-0.201959113,0.014144897,-0.153994001,0.058642599,0.05365385,0.082546325,0.140092551,0.065041081,0.362760823,0.027369601,0.395438378,0.003686932,0.369508456,-0.032229048,0.26847006,-0.033676986,0.230796355,-0.044543995,0.067306438,-0.031278051,-0.091772312,-0.035387273,-0.105039806,-0.014035566,-0.142059507,0.043195513,-0.173211631,-0.056507067,-0.244205312,-0.030922136,S_macrop
-0.282111987,-0.000626467,-0.257390263,0.01051983,-0.24520106,0.010193008,-0.198986026,0.011214922,-0.148653378,0.061903032,0.06223606,0.085273517,0.132063211,0.064499847,0.362000234,0.03708584,0.39398434,0.00831926,0.355944436,-0.024840365,0.26740203,-0.033211813,0.230895214,-0.043993316,0.095847366,-0.056633682,-0.099116904,-0.051367594,-0.107635983,-0.031010128,-0.139290725,0.040761194,-0.174620308,-0.060858165,-0.247366258,-0.027228919,S_macrop
-0.279275931,-0.017720393,-0.255643672,0.00987443,-0.243393416,0.01223151,-0.192967845,0.013212184,-0.150344867,0.067030979,0.05484708,0.088822728,0.131996805,0.067849236,0.353861656,0.038664469,0.39092437,0.007586211,0.363195344,-0.027291468,0.282300373,-0.031828695,0.239842629,-0.050455421,0.071880818,-0.067696035,-0.10489862,-0.046122372,-0.110830728,-0.024617027,-0.138358858,0.039283643,-0.171371351,-0.050811628,-0.241763785,-0.028012352,S_macrop
